ID,Cinephile,N_movies_week,Platform,Frequency_international,Language,Company ,Company_preference,Festival_attendance_offline,Offline_pros,Grade_offline,Online_awarness,Festival_attendance_online,Grade_online,Pros_online,Advantage_online,Willingness_topay_online,Online_replacements[1-10],More_likely_online[1-10],Online_lacks_social[1-10],Liking_easy_movies[1-10],Age,Gender,Country 
2,No,0,Un-paid streaming services ;,Less frequently than the english ones,Local dubbing,Friends;,Usually with other people,I attended the same festival multiple times,Networking opportunities;,2,Yes,I attended the same online festival multiple times,2,Exclusive online content;,Lower cost than attending in person;,Between 10$ and 20$ (included),4,10,7,7,Between 22 and 26,Man,Italy 
3,Yes,5-Feb,Paid streaming services (e.g. Netflix);,The same as the english ones,Original language (with or without subtitles),Friends;,Usually alone,Never,,,Yes,Never,,Exclusive online content;Lower ticket prices;,Convenience of watching from home;Lower cost than attending in person;Ability to rewatch movies;,Less than 10$,8,8,8,5,Between 18 and 21,Female,France
4,Yes,1,Cinema;,Less frequently than the english ones,Original language (with or without subtitles),Friends;,Usually alone,Once,Interacting with filmmakers;Interacting with other film enthusiasts;,5,Yes,Once,5,Exclusive online content;,Ability to rewatch movies;Convenience of watching from home;,Between 10$ and 20$ (included),5,7,7,7,Between 18 and 21,Male,France
5,No,1,Paid streaming services (e.g. Netflix);,Less frequently than the english ones,Original language (with or without subtitles),Friends;,Alone or with other people (no preference),Never,,,No,Never,,Exclusive online content;,Convenience of watching from home;Lower cost than attending in person;,Less than 10$,7,9,7,8,Between 22 and 26,Female,France
6,No,1,Paid streaming services (e.g. Netflix);Cinema;,"Never, I only watch english movies",Original language (with or without subtitles),Family;Friends;,Alone or with other people (no preference),Once,The general atmosphere;,4,No,Never,,Interactive sessions with directors or actors;,Accessibility to international audiences;Convenience of watching from home;Lower cost than attending in person;,For free only,2,2,9,4,Between 18 and 21,Female,Canada 
7,Yes,5-Feb,Paid streaming services (e.g. Netflix);Cinema;,Less frequently than the english ones,Original language (with or without subtitles),Family;Friends;,Alone or with other people (no preference),Never,,,No,Never,,Exclusive online content;,Accessibility to international audiences;,Between 21$ and 40$ (included),3,3,7,6,Between 18 and 21,Male,Denmark
8,Yes,1,Unpaid streaming services ;,More often than the english ones,Local dubbing,Friends;Family;,Usually alone,Once,Seeing films before public release;Interacting with other film enthusiasts;The general atmosphere;,5,Yes,Never,,Exclusive online content;Interactive sessions with directors or actors;Lower ticket prices;,Accessibility to international audiences;Lower cost than attending in person;,Between 10$ and 20$ (included),0,2,10,2,Between 18 and 21,Male,China
9,Yes,5-Feb,Cinema;Paid streaming services (e.g. Netflix);,The same as the english ones,Original language (with or without subtitles),Family;Friends;,Alone or with other people (no preference),Never,,,No,Never,,Lower ticket prices;,Accessibility to international audiences;Convenience of watching from home;Ability to rewatch movies;Lower cost than attending in person;,For free only,2,5,7,5,Between 18 and 21,Male,India
10,No,5-Feb,Paid streaming services (e.g. Netflix);Unpaid streaming services ;123Movies;,Less frequently than the english ones,Original language (with or without subtitles),Friends;,Usually alone,I attended the same festival multiple times,School Field Trip;,2,No,Never,,Interactive sessions with directors or actors;,Accessibility to international audiences;Convenience of watching from home;Lower cost than attending in person;,Between 10$ and 20$ (included),8,9,4,2,Between 18 and 21,Male,Germany
11,Yes,5-Feb,Live TV Streaming;,Less frequently than the english ones,Original language (with or without subtitles),Family;,Usually alone,Once,Seeing films before public release;,4,Yes,Never,,Interactive sessions with directors or actors;Lower ticket prices;,Lower cost than attending in person;Ability to rewatch movies;Convenience of watching from home;,Between 10$ and 20$ (included),5,7,9,10,Older than 26,Female,China
12,No,0,Paid streaming services (e.g. Netflix);,Less frequently than the english ones,Original language (with or without subtitles),Friends;Family;,Alone or with other people (no preference),Never,,,No,Never,,Lower ticket prices;Interactive sessions with directors or actors;Exclusive online content;,Accessibility to international audiences;Convenience of watching from home;Lower cost than attending in person;,Between 10$ and 20$ (included),4,6,6,5,Between 18 and 21,Female,Canada 
13,Maybe,1,Paid streaming services (e.g. Netflix);Cinema;,Less frequently than the english ones,Original language (with or without subtitles),Family;Friends;Strangers;,Alone or with other people (no preference),Never,,,No,Never,,Exclusive online content;,Ability to rewatch movies;,Between 10$ and 20$ (included),0,3,10,5,Between 18 and 21,Female,Syria
14,No,1,Paid streaming services (e.g. Netflix);,"Never, I only watch english movies",Local dubbing,Friends;Family;,Usually with other people,Never,,,Yes,Never,,Lower ticket prices;,Convenience of watching from home;Lower cost than attending in person;,Less than 10$,3,6,5,8,Between 18 and 21,Female,Canada 
15,Yes,5-Feb,Paid streaming services (e.g. Netflix);Cinema;,More often than the english ones,Original language (with or without subtitles),Friends;Family;,Usually with other people,Never,,,No,Never,,Lower ticket prices;,Convenience of watching from home;Lower cost than attending in person;,Between 10$ and 20$ (included),3,5,6,6,Between 18 and 21,Female,Canada 
16,Yes,5-Feb,Paid streaming services (e.g. Netflix);paid streaming services (through university);,Less frequently than the english ones,Original language (with or without subtitles),Friends;Family;,Usually alone,Never,,,No,Never,,Lower ticket prices;,Accessibility to international audiences;Convenience of watching from home;Lower cost than attending in person;Ability to rewatch movies;,Between 10$ and 20$ (included),4,7,6,5,Between 18 and 21,Female,NA
17,No,5-Feb,Paid streaming services (e.g. Netflix);Unpaid streaming services ;,Less frequently than the english ones,Original language (with or without subtitles),Family;Friends;,Alone or with other people (no preference),Never,,,No,Never,,Lower ticket prices;Exclusive online content;,Accessibility to international audiences;Convenience of watching from home;Lower cost than attending in person;Ability to rewatch movies;,Less than 10$,1,9,9,10,Between 18 and 21,Female,Canada 
